PlantType,Parameter,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
iPWRHTSE,Heat Rate (Btu/kWh),1376092.504,1376092.504,1376092.504,1376092.504,1376092.504,1376092.504,1376092.504,1376092.504,1376092.504,1376092.504,1376092.504,1376092.504,1376092.504,1376092.504,1376092.504,1376092.504,1376092.504,1376092.504,1376092.504,1376092.504,1376092.504,1376092.504,1376092.504,1376092.504,1376092.504,1376092.504,1376092.504,1376092.504,1376092.504,1376092.504,1376092.504
iPWRHTSE,CAPEX(2012$/MW),5439708.56,5439708.56,5439708.56,5439708.56,5439708.56,5439708.56,5439708.56,5439708.56,5439708.56,5439708.56,5439708.56,5439708.56,5439708.56,5439708.56,5439708.56,5439708.56,5439708.56,5439708.56,5439708.56,5439708.56,5439708.56,5439708.56,5439708.56,5439708.56,5439708.56,5439708.56,5439708.56,5439708.56,5439708.56,5439708.56,5439708.56
iPWRHTSE,FOM(2012$/MW/yr),127875.616,127875.616,127875.616,127875.616,127875.616,127875.616,127875.616,127875.616,127875.616,127875.616,127875.616,127875.616,127875.616,127875.616,127875.616,127875.616,127875.616,127875.616,127875.616,127875.616,127875.616,127875.616,127875.616,127875.616,127875.616,127875.616,127875.616,127875.616,127875.616,127875.616,127875.616
iPWRHTSE,VOM(2012$/MWh),11.0088,11.0088,11.0088,11.0088,11.0088,11.0088,11.0088,11.0088,11.0088,11.0088,11.0088,11.0088,11.0088,11.0088,11.0088,11.0088,11.0088,11.0088,11.0088,11.0088,11.0088,11.0088,11.0088,11.0088,11.0088,11.0088,11.0088,11.0088,11.0088,11.0088,11.0088
HTGRHTSE,Heat Rate (Btu/kWh),1442564.666,1442564.666,1442564.666,1442564.666,1442564.666,1442564.666,1442564.666,1442564.666,1442564.666,1442564.666,1442564.666,1442564.666,1442564.666,1442564.666,1442564.666,1442564.666,1442564.666,1442564.666,1442564.666,1442564.666,1442564.666,1442564.666,1442564.666,1442564.666,1442564.666,1442564.666,1442564.666,1442564.666,1442564.666,1442564.666,1442564.666
HTGRHTSE,CAPEX(2012$/MW),7168908.56,7168908.56,7168908.56,7168908.56,7168908.56,7168908.56,7168908.56,7168908.56,7168908.56,7168908.56,7168908.56,7168908.56,7168908.56,7168908.56,7168908.56,7168908.56,7168908.56,7168908.56,7168908.56,7168908.56,7168908.56,7168908.56,7168908.56,7168908.56,7168908.56,7168908.56,7168908.56,7168908.56,7168908.56,7168908.56,7168908.56
HTGRHTSE,FOM(2012$/MW/yr),170995.616,170995.616,170995.616,170995.616,170995.616,170995.616,170995.616,170995.616,170995.616,170995.616,170995.616,170995.616,170995.616,170995.616,170995.616,170995.616,170995.616,170995.616,170995.616,170995.616,170995.616,170995.616,170995.616,170995.616,170995.616,170995.616,170995.616,170995.616,170995.616,170995.616,170995.616
HTGRHTSE,VOM(2012$/MWh),13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688
PBRHTGRHTSE,Heat Rate (Btu/kWh),1110236.134,1110236.134,1110236.134,1110236.134,1110236.134,1110236.134,1110236.134,1110236.134,1110236.134,1110236.134,1110236.134,1110236.134,1110236.134,1110236.134,1110236.134,1110236.134,1110236.134,1110236.134,1110236.134,1110236.134,1110236.134,1110236.134,1110236.134,1110236.134,1110236.134,1110236.134,1110236.134,1110236.134,1110236.134,1110236.134,1110236.134
PBRHTGRHTSE,CAPEX(2012$/MW),4589628.56,4589628.56,4589628.56,4589628.56,4589628.56,4589628.56,4589628.56,4589628.56,4589628.56,4589628.56,4589628.56,4589628.56,4589628.56,4589628.56,4589628.56,4589628.56,4589628.56,4589628.56,4589628.56,4589628.56,4589628.56,4589628.56,4589628.56,4589628.56,4589628.56,4589628.56,4589628.56,4589628.56,4589628.56,4589628.56,4589628.56
PBRHTGRHTSE,FOM(2012$/MW/yr),114675.616,114675.616,114675.616,114675.616,114675.616,114675.616,114675.616,114675.616,114675.616,114675.616,114675.616,114675.616,114675.616,114675.616,114675.616,114675.616,114675.616,114675.616,114675.616,114675.616,114675.616,114675.616,114675.616,114675.616,114675.616,114675.616,114675.616,114675.616,114675.616,114675.616,114675.616
PBRHTGRHTSE,VOM(2012$/MWh),13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688,13.8688
iMSRHTSE,Heat Rate (Btu/kWh),1353371.393,1353371.393,1353371.393,1353371.393,1353371.393,1353371.393,1353371.393,1353371.393,1353371.393,1353371.393,1353371.393,1353371.393,1353371.393,1353371.393,1353371.393,1353371.393,1353371.393,1353371.393,1353371.393,1353371.393,1353371.393,1353371.393,1353371.393,1353371.393,1353371.393,1353371.393,1353371.393,1353371.393,1353371.393,1353371.393,1353371.393
iMSRHTSE,CAPEX(2012$/MW),10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
